case_order	dataset	variant	search_role	case_name	ef_search	queue_size	warmup_size	k_neighbors	yaml_path	stats_path	base_yaml	note
25	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef22	22	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef22.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef22_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
26	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
27	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef28	28	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef28.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef28_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
28	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef32	32	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef32.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef32_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
29	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef10	10	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef10.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef10_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
30	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef15	15	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef15.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef15_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
31	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
32	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
33	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef28	28	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef28.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef28_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
34	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef30	30	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef30.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef30_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
35	t2i1m	normalized	trim_ef	t2i1m_normalized_k10_ef35	35	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/t2i1m_normalized_k10_ef35.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/t2i1m_normalized_k10_ef35_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/t2i1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
36	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef15	15	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef15.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef15_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
37	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
38	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
39	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef30	30	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef30.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef30_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
40	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef35	35	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef35.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef35_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
41	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef40	40	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef40.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef40_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
42	gist1m	normalized	trim_ef	gist1m_normalized_k10_ef45	45	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/gist1m_normalized_k10_ef45.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/gist1m_normalized_k10_ef45_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/gist1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
43	pubmed	raw	trim_ef	pubmed_raw_k10_ef50	50	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef50.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef50_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
44	pubmed	raw	trim_ef	pubmed_raw_k10_ef80	80	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/pubmed_raw_k10_ef80.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/pubmed_raw_k10_ef80_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/pubmed_raw_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
