top_k	dataset	normalization	design	ef_search	queue_size	historical_result_status	source_kind	config_path
100	t2i1m	normalized	ndp_base	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_base.yaml
100	t2i1m	normalized	ndp_fpma	93	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_fpma.yaml
100	t2i1m	normalized	ndp_et	60	220	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ndp_et.yaml
100	t2i1m	normalized	mfnns	60	220	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/mfnns.yaml
100	w2v1m	normalized	cpu	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/cpu.yaml
100	w2v1m	normalized	ansmet	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ansmet.yaml
100	w2v1m	normalized	ndp_base	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_base.yaml
100	w2v1m	normalized	ndp_fpma	93	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_fpma.yaml
100	w2v1m	normalized	ndp_et	80	112	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/ndp_et.yaml
100	w2v1m	normalized	mfnns	80	112	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/w2v1m/mfnns.yaml
100	wiki1m	normalized	cpu	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/cpu.yaml
100	wiki1m	normalized	ansmet	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/ansmet.yaml
100	wiki1m	normalized	ndp_base	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/ndp_base.yaml
100	wiki1m	normalized	ndp_fpma	93	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/ndp_fpma.yaml
100	wiki1m	normalized	ndp_et	40	128	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/ndp_et.yaml
100	wiki1m	normalized	mfnns	40	128	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/wiki1m/mfnns.yaml
100	pubmed	normalized	cpu	400	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/cpu.yaml
100	pubmed	normalized	ansmet	400	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/ansmet.yaml
100	pubmed	normalized	ndp_base	400	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/ndp_base.yaml
100	pubmed	normalized	ndp_fpma	400	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/ndp_fpma.yaml
100	pubmed	normalized	ndp_et	400	800	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/ndp_et.yaml
100	pubmed	normalized	mfnns	400	800	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/pubmed/mfnns.yaml
